Latitude,Longitude,Site,Species,Type
50.64714,-107.966644,C30,CW,Presence
50.647217,-107.967498,C31,CW,Presence
50.647338,-107.968764,C35,CW,Presence
50.645658,-107.987687,C44,CW,Presence
50.650363,-107.953462,C49,CW,Presence
50.630378,-108.012319,C50,CW,Presence
50.653071,-108.048049,C56,CW,Presence
50.688089,-108.029821,C64,CW,Presence
50.688014,-108.031312,C65,CW,Presence
50.665537,-108.01944,C76,CW,Presence
50.652233,-108.047402,C87,CW,Presence
50.692773,-107.921462,C124,CW,Presence
50.696224,-107.910823,C131,CW,Presence
50.64746,-107.969993,C186,CW,Presence
50.647144,-107.971783,C189,CW,Presence
50.646982,-107.972863,C190,CW,Presence
50.646843,-107.988462,C197,CW,Presence
50.645405,-107.992963,C203,CW,Presence
50.651055,-107.955273,C208,CW,Presence
50.648703,-107.960373,C214,CW,Presence
50.647913,-107.920782,N1,NG,Absence
50.648595,-107.920853,N3,NG,Absence
50.649558,-107.920842,N4,NG,Absence
50.650329,-107.920918,N5,NG,Absence
50.625058,-107.944267,N12,NG,Absence
50.624725,-107.945703,N14,NG,Absence
50.657849,-107.981612,N19,NG,Absence
50.660769,-107.995085,N23,NG,Absence
50.672694,-107.96391,N26,NG,Absence
50.673309,-107.964472,N27,NG,Absence
50.67613,-107.967439,N29,NG,Absence
50.64748,-107.979073,N43,NG,Absence
50.644395,-107.988158,N47,NG,Absence
50.645364,-107.994218,N48,NG,Absence
50.629142,-108.011434,N52,NG,Absence
50.630917,-108.010955,N53,NG,Absence
50.631446,-108.011373,N54,NG,Absence
50.653558,-108.048669,N60,NG,Absence
50.688195,-108.026415,N61,NG,Absence
50.68689,-108.03304,N67,NG,Absence
50.687619,-108.034736,N70,NG,Absence
50.6483,-107.921863,N79,NG,Absence
50.629994,-108.010842,N81,NG,Absence
50.654243,-108.048602,N84,NG,Absence
50.679294,-107.901133,N90,NG,Absence
50.677186,-107.954903,N94,NG,Absence
50.678157,-107.955652,N98,NG,Absence
50.67858,-107.956333,N100,NG,Absence
50.679826,-107.956503,N101,NG,Absence
50.679218,-107.955313,N104,NG,Absence
50.679976,-107.955553,N108,NG,Absence
50.678507,-107.954632,N109,NG,Absence
50.677557,-107.954113,N112,NG,Absence
50.67685,-107.953282,N113,NG,Absence
50.676297,-107.952033,N117,NG,Absence
50.685509,-107.936342,N122,NG,Absence
50.693486,-107.920653,N125,NG,Absence
50.694165,-107.916203,N128,NG,Absence
50.694865,-107.912673,N130,NG,Absence
50.697008,-107.908953,N133,NG,Absence
50.694479,-107.914423,N135,NG,Absence
50.694537,-107.920022,N137,NG,Absence
50.68366,-107.941503,N144,NG,Absence
50.68005,-107.946623,N146,NG,Absence
50.678205,-107.949852,N147,NG,Absence
50.69381,-107.901583,N149,NG,Absence
50.694383,-107.901332,N151,NG,Absence
50.695716,-107.901992,N152,NG,Absence
50.697623,-107.904492,N153,NG,Absence
50.697155,-107.906692,N154,NG,Absence
50.687984,-108.033493,N155,NG,Absence
50.657709,-107.980783,N156,NG,Absence
50.65785,-107.982633,N161,NG,Absence
50.657717,-107.985032,N163,NG,Absence
50.660343,-107.994502,N164,NG,Absence
50.661008,-108.004653,N165,NG,Absence
50.66208,-108.009803,N166,NG,Absence
50.665713,-108.020963,N170,NG,Absence
50.664861,-108.020883,N172,NG,Absence
50.646983,-107.974902,N195,NG,Absence
50.645446,-107.991393,N204,NG,Absence
50.649195,-107.958713,N205,NG,Absence
50.649581,-107.957693,N206,NG,Absence
50.650674,-107.956102,N207,NG,Absence
50.650428,-107.954452,N209,NG,Absence
50.675109,-107.965404,C12,CW,Presence
50.691539,-107.924027,C13,CW,Presence
50.697111,-107.910978,C15,CW,Presence
50.662022,-107.99627,C19,CW,Presence
50.646667,-107.974167,C2,CW,Presence
50.623369,-107.944217,C20,CW,Presence
50.647921,-107.98266,C3,CW,Presence
50.645249,-107.984425,C4,CW,Presence
50.645322,-107.986676,C5,CW,Presence
50.645905,-107.995248,C6,CW,Presence
50.644874,-107.99506,C7,CW,Presence
50.661591,-107.997945,N10,NG,Absence
50.675063,-107.966736,N13,NG,Absence
50.681423,-107.944826,N14,NG,Absence
50.687338,-107.931645,N15,NG,Absence
50.695078,-107.918323,N16,NG,Absence
50.687999,-108.027731,C63,CW,Presence
50.623879,-107.944622,C80,CW,Presence
50.638757,-107.998709,CWN4,CW,Presence
50.644945,-107.997112,CWN5,CW,Presence
50.646214,-107.965788,CWN3,CW,Presence
50.646088,-107.962405,CWN2,CW,Presence
50.650226,-107.949526,CWN1,CW,Presence
50.647563,-108.029006,S&T1,ST,Absence
50.663366,-108.054158, S&T2,ST,Absence
50.682483,-108.044547, S&T3,ST,Absence
50.691685,-108.086948, S&T4,ST,Absence
50.67908,-107.893674, S&T5,ST,Absence
50.660548,-107.924844,S&T6,ST,Absence
50.677249,-107.94741,S&T7,ST,Absence
50.679122,-107.943258, S&T8,ST,Absence
50.690159,-107.93825, S&T9,ST,Absence
50.700319,-107.901522,S&T10,ST,Absence
50.694293,-107.940628,S&T11,ST,Absence
50.681236,-108.030707,S&T12,ST,Absence
50.635223,-107.957647,S&T13,ST,Absence
50.665207,-107.961719,R&H1,RH,Absence
50.64701,-107.962807,R&H2,RH,Absence
50.662223,-107.960429,R&H3,RH,Absence
50.663956,-107.959223,R&H4,RH,Absence
50.656775,-107.973595,R&H5,RH,Absence
50.658436,-108.001318,R&H6,RH,Absence
